type,color,year,length,condition,width,weight,price
Standard,Purple,2022,3.13,New Car,1.9046298451482493,3466.0,12826
SUV,Purple,2018,3.34,Poor,2.776809394288212,3150.0,5985
Standard,Black,2021,3.08,Good,2.2199866457362294,2959.0,11420
SUV,Purple,2021,3.34,Average,2.304811671891337,3473.0,9213
Standard,Red,2016,2.98,Average,2.598401769699061,2833.0,6566
Standard,Purple,2014,3.08,Poor,2.932552503453602,2743.0,4721
Standard,Purple,2023,2.94,Good,1.9551646831943341,2765.0,12865
SUV,Purple,2023,3.24,Good,2.065918020530393,3529.0,13138
Standard,Green,2023,2.91,Poor,2.105690776352647,3326.0,12880
Standard,White,2022,2.94,Poor,2.2231786950502017,2764.0,9530
Standard,Green,2023,3.08,Good,1.9316750351020762,3187.0,17769
SUV,Purple,2019,3.34,Good,2.2995143589373797,3077.0,8467
SUV,White,2021,3.3,Average,2.3454777280710633,2784.0,10337
SUV,Red,2014,3.32,Poor,2.7517486299309817,3194.0,6145
SUV,Red,2022,3.45,Average,1.84482031642067,3407.0,11457
SUV,Purple,2018,3.22,Average,2.50512330876091,3085.0,6658
SUV,White,2023,3.32,Poor,1.7898020875663927,3424.0,14104
SUV,Red,2019,3.23,Poor,2.45175504596686,2670.0,7293
Standard,Purple,2011,2.92,Good,2.9461570923910605,2700.0,5113
Standard,Purple,2023,3.03,Good,2.0382934019643417,3036.0,15672
Standard,White,2023,2.97,Average,2.0065550047475202,2800.0,11269
Standard,Green,2022,3.09,Poor,2.0939203455957847,3627.0,9357
SUV,White,2022,3.22,Good,1.9454193651352434,3342.0,17231
Standard,Green,2023,2.86,Poor,1.9294945050267749,3278.0,9763
Standard,Purple,2022,3.08,Good,2.202897019285266,3275.0,8847
Standard,Black,2021,2.84,Average,2.1848380564199665,3022.0,8889
SUV,Purple,2023,3.2,Poor,2.0655910694181534,3813.0,10773
Standard,White,2022,2.91,Poor,2.0652335560615303,2558.0,9797
SUV,Black,2022,3.33,Poor,2.075432672792352,2917.0,11729
SUV,Black,2021,3.25,Good,2.210273233051121,2940.0,11394
SUV,White,2022,3.39,Good,1.9337899541831294,3180.0,13356
SUV,Green,2018,3.2,Average,2.5614380333473417,,8003
SUV,Red,2023,3.3,Good,1.9208781199719085,3484.0,14861
SUV,Black,2020,3.53,Average,2.2529430275394944,3568.0,10037
SUV,Red,2022,3.3,Good,2.2036385836446017,3703.0,12100
Standard,White,2023,3.11,Poor,2.0818386886405293,2907.0,12315
SUV,White,2022,3.25,Good,2.0756473120793117,3036.0,12769
Standard,Green,2016,3.01,Good,2.6675902581769084,2841.0,7153
Standard,White,2021,2.86,Average,2.1753271332316846,2671.0,8880
Standard,Black,2002,3.07,Average,2.6034272104015836,2529.0,4793
SUV,Purple,2021,3.23,Poor,2.13800308523551,3042.0,8556
SUV,Black,2019,3.21,Good,2.5063172699849536,3469.0,9365
SUV,Green,2022,3.16,Average,2.189586705283458,3226.0,11176
Standard,Green,2022,3.01,Average,2.1182132127996804,3120.0,11570
SUV,White,2018,3.24,Good,2.402610730763536,2850.0,8465
Standard,Green,2021,2.99,Poor,2.303501290872926,3491.0,8615
Standard,White,2022,2.89,Good,2.203051874504264,2880.0,14122
Standard,Purple,2021,2.93,Good,2.145909452916696,3157.0,9038
SUV,Green,2022,3.25,Poor,2.020215414104307,3341.0,12107
Standard,White,2022,3.04,Poor,2.0191611360371464,2626.0,11542
Standard,Red,2013,2.96,New Car,3.007045052356816,3177.0,8434
Standard,Green,2017,2.9,Poor,2.6213023484810423,3017.0,5812
Standard,Red,2022,3.25,Good,1.9779932413467005,3499.0,12610
SUV,Green,2011,3.24,Good,3.027726093900911,2889.0,7366
Standard,Black,2020,2.99,Poor,2.4935984179963118,3410.0,8165
SUV,White,2015,3.22,Average,2.873087775766459,2928.0,6692
Standard,White,2020,3.05,Good,2.328521747733813,3209.0,9853
SUV,White,2023,3.24,Average,1.9514937730083128,,19701
SUV,Green,2012,3.3,Good,2.9925236017212384,3459.0,7822
Standard,Red,2000,3.26,Good,2.396051275848341,3580.0,5582
Standard,White,2018,3.03,Poor,2.4031199707768964,3080.0,6691
Standard,Black,2008,2.93,Poor,2.7608908466048563,2524.0,4693
Standard,Black,2022,3.03,Good,2.0195610068152394,3045.0,11491
Standard,Green,2022,3.19,Average,2.094456231807563,3457.0,10067
SUV,Purple,2021,3.38,Average,2.2611324204415335,3283.0,8648
Standard,White,2021,3.06,Good,1.9830144092851216,3239.0,12255
Standard,Red,2022,2.94,Average,1.9864417130412209,2831.0,9349
SUV,White,2022,3.24,Good,2.0907318425416963,3072.0,13985
Standard,Black,2019,2.89,Poor,2.2835199991549997,3017.0,6886
Standard,Red,2021,2.97,Good,2.218971182165151,3121.0,11625
SUV,Green,2023,3.46,Good,2.0406138488527175,3272.0,17197
Standard,Purple,2019,2.87,New Car,2.376030855722319,2842.0,8107
Standard,Black,2007,2.97,Good,2.824209440490363,2803.0,6051
Standard,Black,2011,3.02,Average,2.7529113624916626,3307.0,5777
SUV,Black,2020,3.2,New Car,2.1220645117324732,3343.0,12734
Standard,White,2022,3.11,Average,2.157292257644651,3264.0,10161
SUV,Green,2015,3.25,Poor,2.9192767638201307,3067.0,6632
Standard,White,2019,3.06,Good,2.396452289725222,2871.0,8669
SUV,Green,2021,3.31,Good,2.2267632695539095,3023.0,13223
Standard,Green,2018,2.94,Average,2.658234097318298,2934.0,6965
SUV,Green,2022,3.09,Good,2.1246529310294835,2864.0,12235
Standard,Purple,2006,3.18,Poor,2.7345513375918613,,4259
SUV,Purple,2022,3.16,Good,2.1458734491260123,3004.0,11074
SUV,Green,2023,3.24,Average,1.9725518078218602,3497.0,15545
SUV,Green,2016,3.21,New Car,2.648147879495737,,8829
Standard,White,2015,3.01,Average,2.7632790723253935,,6557
SUV,Black,2023,3.42,Good,2.044479528938862,3620.0,22782
Standard,Red,2004,3.09,Good,2.535052796676058,3388.0,5724
SUV,Purple,2020,3.46,Good,2.251538164849919,,9686
Standard,Red,2018,3.13,Good,2.524793617301587,3122.0,9435
SUV,Green,2021,3.3,Good,2.2339283649920225,3887.0,10853
Standard,Purple,2022,2.9,Poor,2.0424563946464533,2763.0,7779
Standard,White,2015,3.02,Average,2.7542539413146225,2778.0,6464
SUV,Purple,2015,3.26,Poor,2.8272554859960755,3620.0,5217
SUV,Red,2017,3.32,Good,2.532508701674061,,9336
Standard,Red,2018,3.08,Average,2.6165000198569444,,7146
SUV,Green,2023,3.44,Poor,2.0124267800637377,,16420
SUV,Green,2022,3.3,Average,2.1945785665405118,3928.0,11118
SUV,Red,2014,3.28,Good,2.87742550435774,,7041
SUV,Black,2017,3.32,Good,2.5399487953158597,3136.0,8156
SUV,White,2013,3.33,Good,3.00958532855864,,7202
Standard,Black,2011,3.09,Average,2.680783150354071,3229.0,5677
Standard,Black,2016,3.1,Good,2.7268285684190037,2968.0,7670
SUV,White,2021,3.31,Average,2.224374610341711,3033.0,9405
Standard,White,2022,3.07,Good,1.9747252228228027,2862.0,12676
SUV,Green,2019,3.0,Poor,2.653879272075234,2853.0,7080
SUV,Black,2020,3.14,New Car,2.248852088840494,2988.0,11849
Standard,Red,2019,3.09,Average,2.590411422951514,3144.0,7337
Standard,Purple,2021,3.12,New Car,2.126946477297634,,12435
SUV,White,2022,3.35,Poor,2.059670696607832,3228.0,10480
SUV,Red,2023,3.35,Poor,1.8807393328965492,3921.0,22191
Standard,Black,2013,2.9,Average,2.742788354745141,2674.0,6163
SUV,Black,2023,3.23,Good,2.1579711379572495,2817.0,15647
SUV,Red,2014,3.26,Good,2.8032260858293547,3229.0,7624
SUV,Green,2023,3.33,Good,1.905655896772935,4005.0,15314
Standard,Black,2022,3.01,New Car,2.2702531204410223,3136.0,13321
Standard,Red,2019,3.0,Average,2.3639678076146633,3047.0,7386
SUV,Black,2023,3.27,Good,2.0166097849629367,3069.0,18464
Standard,Green,2020,2.92,Good,2.2495764772670066,2665.0,8316
Standard,Red,1967,3.05,Poor,0.7381114046519432,3052.0,3127
SUV,Black,2016,3.34,Poor,2.710808382502508,3280.0,6037
SUV,Red,2022,3.3,Good,1.9809552580349046,3404.0,12751
SUV,White,2021,3.35,New Car,2.161920118949453,3510.0,14966
SUV,White,2023,3.14,Good,2.1409273099040482,3135.0,14165
SUV,White,2014,3.21,Poor,2.6888104462559785,3506.0,5843
Standard,Red,2017,2.91,Poor,2.6584029244125444,3063.0,6175
SUV,Green,2020,326.0,Good,2.162567901357892,3377.0,10103
Standard,Black,2022,2.97,Good,1.9950534806468143,3231.0,12270
SUV,Black,2014,3.26,Average,2.852724147530134,,6893
SUV,Black,2019,3.48,Good,2.379531234454723,3404.0,10102
SUV,Purple,2019,3.31,New Car,2.36678958126632,3650.0,9495
Standard,Red,2023,3.17,Good,1.9907615497002724,3447.0,14888
Standard,Green,2023,2.95,Average,1.7657406534108229,,14040
SUV,Purple,2022,3.37,Good,2.054369097191627,,10141
SUV,Green,2018,3.28,Average,2.2889898541972884,2957.0,8041
SUV,Purple,2018,3.23,Good,2.4041125219055433,2920.0,7063
SUV,White,2022,3.32,Good,2.146683604306091,3275.0,12364
SUV,Green,2016,3.26,Average,2.624182112145606,3514.0,6966
Standard,Black,2022,2.99,Poor,2.039234584554335,3451.0,10504
Standard,Purple,2014,2.99,Poor,2.9308182516498156,3140.0,4884
Standard,Red,2017,3.14,Average,2.6464307301692194,3440.0,7373
SUV,Purple,2019,3.39,Average,2.4395540253561645,3400.0,7634
Standard,Purple,2021,3.1,Good,2.114478241074293,3068.0,9379
SUV,Purple,2023,3.32,Average,2.0295874075645783,3300.0,11772
SUV,Red,2013,3.53,Average,3.055911649648873,3302.0,7251
Standard,Black,2022,3.05,Average,2.1641774586358715,3353.0,10277
Standard,Purple,2023,2.93,Average,1.8362827031020352,2877.0,8990
Standard,White,2021,2.99,Average,2.315473502390146,Paris,8728
Standard,Red,2022,3.09,Good,2.0709502471132692,3299.0,14780
SUV,Purple,2023,3.41,Average,1.9297728082552956,3376.0,12842
Standard,Red,2023,2.82,Good,2.0688561911053656,2946.0,14380
SUV,Red,2016,3.44,Good,2.8232848103972685,,8049
SUV,Black,1942,3.15,Good,-0.4173149997031387,3297.0,3859
SUV,Purple,2022,3.34,Poor,2.027550739987615,3166.0,8637
Standard,Red,2023,3.0,Good,1.948923058070389,3550.0,14969
SUV,White,2021,3.2,Good,2.1040062756972615,3580.0,12027
Standard,Purple,2017,3.03,Average,2.620254630134841,2794.0,6107
Standard,Green,2023,3.2,Poor,2.1148711598096854,3210.0,14494
SUV,White,2020,3.04,Good,2.1614442331776202,3481.0,9287
SUV,Black,2015,3.21,Good,2.774633040850163,3510.0,8192
Standard,Black,2004,3.08,Good,2.4828709797734403,2577.0,6163
SUV,Red,2022,3.14,Average,1.9999049178579533,2910.0,11199
SUV,Purple,2020,3.37,Good,2.427884734608402,3204.0,9454
Standard,Purple,2022,3.01,Average,2.024717417459631,3055.0,9386
SUV,Purple,2008,3.0,New Car,2.7589405695657168,2559.0,5917
Standard,Black,2022,2.9,Good,2.159214914798953,3076.0,14227
Standard,Purple,2018,3.09,Good,2.525597999641067,2861.0,6740
Standard,Purple,2022,3.1,Average,2.0805199077475676,3512.0,9461
Standard,Purple,2021,2.96,Poor,2.187200211932461,,5753
Standard,Purple,2022,2.9,Good,2.11621591160474,2525.0,8320
SUV,Green,2020,3.35,New Car,2.4435969355426392,3198.0,14213
SUV,Red,2014,3.12,Good,3.010767740395479,3011.0,7540
SUV,Green,2018,3.32,Average,2.570028314825977,3358.0,7853
SUV,Green,2021,3.15,Poor,2.220637090691721,3058.0,7330
SUV,Green,2021,3.52,Poor,2.10084357027222,3440.0,10259
SUV,Purple,2018,3.24,Poor,2.4328272942135793,3021.0,6122
Standard,Purple,2011,2.97,Average,2.830496868586422,3067.0,4500
Standard,Green,2017,3.22,Average,2.6956411268864886,3402.0,7133
SUV,White,2018,3.28,Poor,2.35785960638622,3099.0,6659
SUV,White,2023,3.3,Poor,2.203785773365617,3147.0,10286
SUV,Red,2017,3.35,New Car,2.63012599117414,3099.0,9987
SUV,Purple,2022,3.13,Poor,2.1506235064955894,2715.0,9138
Standard,Purple,2023,2.94,Good,2.0634082693179447,3360.0,11608
Standard,Red,2023,3.01,Poor,2.07083943788895,3199.0,13821
Standard,Green,2023,3.03,Average,2.0827718286009174,2982.0,12433
SUV,Green,2020,3.36,Poor,2.2919155024550504,3364.0,8659
SUV,White,2022,3.42,Poor,2.1455496005931263,,10959
Standard,Red,2020,3.14,Good,2.1150134149227506,3581.0,10026
SUV,Purple,2021,3.33,Average,2.221555485436762,3635.0,8379
SUV,White,2014,3.42,Average,2.8521862812355283,3600.0,7284
Standard,Red,1991,3.25,Poor,1.8607052969070879,2894.0,4282
Standard,Purple,2018,2.99,Poor,2.518763787847331,3043.0,5285
Standard,Purple,2023,3.0,Average,1.8781987317886926,,19065
SUV,White,2022,3.37,Average,2.10917360598561,,13129
Standard,Black,2021,3.03,Good,2.022586016122344,3247.0,9549
Standard,Black,2019,3.14,Poor,2.3988284429805535,3115.0,6624
SUV,Green,2022,3.14,New Car,2.2382430588759954,3298.0,15595
Standard,Purple,2018,2.9,Poor,2.529963150443358,3137.0,5489
Standard,Green,2021,2.93,Good,2.017422015949014,2999.0,10996
SUV,Green,2021,3.47,Good,2.060124502898273,2905.0,13532
SUV,Green,2022,3.31,Good,2.1099493521648744,3571.0,15877
SUV,White,2018,3.45,Good,2.4670456627885056,3373.0,10819
Standard,White,2021,2.96,Good,2.2207294797143855,,10414
Standard,Black,2015,2.98,Good,2.7592502318851704,,6500
SUV,Purple,2020,3.48,Average,2.424572860715899,3432.0,8137
SUV,White,2020,3.13,Poor,2.526569799633983,2772.0,8509
Standard,Black,2023,3.04,Good,1.8869799941466485,3157.0,15256
SUV,Black,2021,3.35,Poor,2.03644959671569,3370.0,11399
Standard,Black,2020,3.11,Average,2.4257947159286477,3319.0,8337
SUV,White,2022,3.13,Poor,1.9997249594257127,3576.0,10142
SUV,Purple,2020,334.0,Average,2.3362477161673127,3713.0,8099
SUV,Green,2023,3.25,Poor,2.28811901723443,3013.0,14409
Standard,White,2023,3.0,Average,2.1808360929428527,3243.0,16841
SUV,White,2019,3.35,Good,2.2910845593747293,3089.0,9271
Standard,Green,2017,3.02,Good,2.603008485992527,3054.0,7726
SUV,Red,2022,3.38,Average,2.1448565975456826,3828.0,13950
Standard,Purple,2020,3.27,Poor,2.4327175889692216,,7368
SUV,White,2023,3.38,Good,1.9113516493695792,3258.0,29521
Standard,Green,2008,2.86,Good,2.8613628023735047,2776.0,5831
SUV,White,2022,3.3,Good,2.1156969544983286,3441.0,17655
Standard,Red,2020,3.15,Good,2.382865416114028,3185.0,10604
SUV,Purple,2021,3.19,Good,2.2504413150647045,3043.0,11365
Standard,Black,2023,3.06,New Car,1.9291905693303697,3073.0,16874
Standard,White,2019,2.9,Average,2.4418225182099382,3104.0,7568
Standard,White,2020,3.0,Good,2.281079372991497,3143.0,10873
Standard,White,2022,2.95,Poor,2.181327082133143,2905.0,7633
Standard,White,2017,3.07,Poor,2.732629921151605,3027.0,5836
SUV,Purple,2019,3.22,Average,2.3212040511808083,3415.0,7050
Standard,Red,2022,3.14,Average,2.0026099202130534,3069.0,10793
Standard,Green,2016,3.1,Good,2.670386426253375,3210.0,7541
Standard,Black,2021,3.11,Good,2.263867316512232,2752.0,10284
Standard,Purple,2021,3.05,Good,1.9903130269804614,3024.0,8450
SUV,White,2022,3.43,Good,1.8998627337690839,3563.0,18629
SUV,Red,2020,0.0,Good,2.3778928879105568,3185.0,9414
Standard,Purple,2023,3.0,Average,2.1824487204867,2748.0,13425
Standard,Red,2019,3.05,New Car,2.5282737965585045,3072.0,12584
Standard,Purple,2006,3.03,Average,2.6080008466573914,3119.0,4193
Standard,Red,2016,3.21,Poor,2.650037541691093,,6046
SUV,Red,2021,3.35,Good,2.206373218883378,2889.0,10948
SUV,Purple,2017,3.34,Average,2.5609487675654194,2949.0,6959
Standard,Red,2023,3.01,Good,2.0502363680140525,,15528
Standard,Red,2018,2.97,Good,2.522888577912156,3053.0,7595
Standard,Red,2020,3.03,Poor,2.1410112204039606,3194.0,7999
SUV,Purple,2019,3.23,Average,2.3496224694689833,3045.0,6553
Standard,Red,2021,2.82,Average,2.100076020794926,2268.0,9152
SUV,Black,2014,3.2,Average,2.7672462793750903,,6870
SUV,Red,2023,3.26,Good,1.9382639905705894,3569.0,17489
Standard,Purple,2021,2.86,Good,2.2130892984227195,2920.0,10997
SUV,White,2008,3.31,Poor,2.691319915091478,3319.0,5441
Standard,Red,2021,2.92,Poor,2.214202820397746,2690.0,8525
Standard,Black,2016,2.99,Good,2.7755167798028957,3354.0,7448
Standard,Purple,2023,3.13,Poor,2.1106238328199525,2965.0,10086
SUV,Purple,2023,3.21,Average,1.9155103273431786,3741.0,10527
Standard,White,2010,3.09,Good,2.7681009691047467,3259.0,6216
SUV,Green,2023,3.34,Good,2.030972058861117,3437.0,17407
Standard,Purple,2021,2.87,New Car,2.3584040718034887,,11077
Standard,Black,2017,3.16,Good,2.6368694194950915,2788.0,8017
SUV,White,2019,3.54,Poor,2.37204636638878,3485.0,8991
Standard,Green,2021,2.94,Average,2.1630753008123818,3152.0,10456
SUV,Black,2021,3.03,Poor,2.1640803592619835,,8504
SUV,Red,2020,3.22,Average,2.453389308546,3579.0,9042
SUV,Green,2021,3.49,Average,2.1541367274840675,3877.0,9954
Standard,Purple,2019,2.91,Average,2.3349921957795496,2577.0,6666
SUV,Black,2020,3.21,Good,2.18347025778224,3405.0,10954
Standard,Purple,2021,2.96,New Car,2.1964351523768335,2917.0,10670
Standard,White,2022,3.11,Average,2.049873527164501,2564.0,10849
SUV,Green,2017,3.35,Average,2.4611594650303736,3172.0,7930
Standard,Purple,2022,3.0,Good,2.0396881877408384,3333.0,11237
Standard,White,2023,2.91,Good,1.8220864655836677,2512.0,15447
SUV,Black,2022,3.27,Average,2.133313605396622,3228.0,13496
Standard,Green,2001,2.97,Good,2.3332270951847023,2899.0,5491
SUV,Purple,2023,3.38,Good,1.8615618668941467,3237.0,12310
Standard,White,2023,3.07,Average,2.1447670412598083,2847.0,14019
SUV,White,2023,3.17,Good,1.939292758316452,3204.0,19827
Standard,Black,2021,2.98,Average,2.327837077902597,3150.0,9412
Standard,Black,2021,2.97,Average,2.197880289961661,3271.0,11238
SUV,Red,2021,3.52,Good,2.4782888226727695,,12365
SUV,Purple,2016,3.3,Poor,2.5823793563713258,3169.0,5094
Standard,Green,2016,2.91,Poor,2.7192751121537615,2914.0,5752
Standard,White,2021,2.93,Poor,2.072387580899936,2680.0,7832
SUV,Black,2019,3.37,Good,2.535330539294144,3202.0,9397
Standard,Green,2021,3.16,Average,2.153840004648264,2945.0,10756
SUV,White,2022,3.21,Poor,2.094407910276171,3201.0,10648
SUV,Green,2015,3.39,Average,2.6026238514487403,3291.0,6881
SUV,Green,2018,3.34,Average,2.3267556697172487,3253.0,7960
SUV,White,2023,3.36,Good,2.0619818484215093,3197.0,20050
Standard,Purple,2019,3.13,Good,2.3673519466946362,3166.0,7633
Standard,Purple,2021,2.93,Average,2.136435714139788,,7993
Standard,White,2013,2.88,Good,2.893791397688842,2760.0,6380
SUV,Red,2023,3.49,Good,2.044996435218789,3464.0,19211
Standard,Red,2019,2.98,Good,2.5071879087437345,3403.0,9315
SUV,Green,2019,3.47,Good,2.453710706627489,3701.0,10848
Standard,Green,2021,3.0,Good,2.2908331321353215,2928.0,11067
Standard,White,2016,2.91,Average,2.847433147951145,,6658
Standard,Red,2023,3.05,Good,2.0420552151989706,2984.0,13930
Standard,White,2022,3.1,Poor,2.176589730330697,3083.0,12302
Standard,Black,2020,3.07,Average,2.3891008188969494,2895.0,8477
SUV,Purple,2022,3.22,Good,2.1279106494983355,3046.0,11267
Standard,Green,2023,3.17,Good,1.9389677418081104,3241.0,15191
SUV,Purple,2014,3.3,Poor,2.941347799919971,3796.0,5284
Standard,Green,2016,3.04,Good,2.826608303476992,3006.0,7901
SUV,Purple,2023,3.32,New Car,2.0347062482104317,3359.0,14042
Standard,Green,2016,3.01,Poor,2.6717041864742272,2657.0,6126
SUV,Green,2022,3.23,Good,2.2021763387332065,2970.0,13702
SUV,Purple,2015,3.27,New Car,2.8200799637075873,3187.0,8090
SUV,Red,2018,3.32,Good,2.61846115246815,3160.0,8819
SUV,Purple,2022,3.21,Poor,2.088220733675221,3433.0,8671
SUV,Black,2021,3.17,New Car,2.227957367308888,2982.0,13780
SUV,Purple,2019,3.31,Good,2.470157409224902,3132.0,8427
SUV,Red,2023,3.13,Average,1.8973567644615204,2986.0,15101
Standard,Red,2012,2.83,Average,2.9595313265877525,3014.0,5336
SUV,Purple,2007,3.36,Poor,2.640883354501801,3499.0,4375
Standard,Red,2016,3.12,Good,2.7363509863061806,3174.0,7816
Standard,White,2022,3.11,Average,2.113965127662575,3380.0,10418
SUV,Purple,1993,3.28,Poor,1.9280142224692551,3393.0,3588
Standard,Green,2023,2.97,Good,1.9709004517362478,2790.0,16716
Standard,Green,2019,2.79,Average,2.5052982743004026,3088.0,7329
SUV,Black,2022,3.34,Good,2.1133596386349116,3512.0,12525
Standard,Green,2023,2.92,Poor,2.030014857919041,2592.0,16744
SUV,Black,2019,3.3,Good,2.488447081225566,3336.0,10714
Standard,White,2022,3.03,Average,2.0456565996293983,3477.0,10137
Standard,Green,2017,2.99,Good,2.700672603022343,3110.0,8647
Standard,White,2019,3.06,Good,2.4732640056399573,2808.0,9009
Standard,Red,2023,2.99,Average,1.9188315959245235,3069.0,12238
SUV,Red,2021,3.39,Average,2.204736056035403,3634.0,10640
SUV,Black,2019,3.33,Average,2.488186688696457,3108.0,8884
Standard,Purple,2022,3.02,Average,2.211124316925436,2813.0,8143
SUV,Black,2022,3.5,Average,2.101631106051436,3368.0,16542
Standard,Black,2021,3.05,Poor,2.198706632840732,3140.0,8752
Standard,Black,2022,2.97,Good,2.1666746987450773,2939.0,12507
SUV,Purple,2021,3.08,New Car,2.10618857918752,3295.0,10875
Standard,Green,2019,3.01,Good,2.4589981746982383,3149.0,9559
SUV,Red,2020,3.21,Poor,2.209507397969789,3386.0,8043
SUV,,2022,3.36,Average,2.0814722217536277,3950.0,12285
Standard,White,2018,3.08,Good,2.360962223367625,2792.0,8036
SUV,Purple,2021,3.39,Good,2.234459379479893,3696.0,9876
Standard,Green,2023,2.96,Average,2.0363554944437765,2867.0,12801
SUV,Red,2023,3.55,Poor,2.0310467554215457,3593.0,12907
Standard,Purple,2021,2.95,Average,2.164352566376171,,8458
SUV,Red,2022,3.3,Good,1.9909013846040362,3983.0,13826
